job_id,iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ld_loss,ibd_loss,dxy_loss,genrel_loss
114,1,0.0007389347343584602,0.28868328543332983,6533.790832987124,1.0,4.714897753122943e-07,2.75e-06,0.03021937870665452,0.023736425145577358,0.012598250557547755,0.018212942434279896,0.00025784103391761766,0.00023726102026553852
114,2,0.00021849793018251395,0.2980419865393446,4463.897820386534,1.0,4.4912966170684475e-07,2.75e-06,0.03822486299548179,0.01812541334230984,0.012750653842188571,0.019710277196965203,0.0004108633549585932,0.0002651227259169871
115,0,4.965662934784753e-05,0.15119961489096215,9566.585701047312,3.0,4.62620259167643e-07,2.75e-06,0.028413221296123614,0.005712076325863249,0.013977301454858688,0.0005297879456300376,0.00014047044253348074,2.703062564428428e-05
115,1,2.0505886238688492e-05,0.05740687035892715,13962.728271826174,2.0,4.5800143224547905e-07,2.75e-06,0.020980707400339024,0.006376506261822842,0.012602276057373157,0.0004824640799706546,0.00023212185128315615,2.8218244833709804e-05
115,2,8.460822200117515e-05,0.11010071608284129,2479.7150330565287,3.0,4.565721990219925e-07,2.75e-06,0.04364791914186395,0.026922347479610965,0.004959165466951211,0.012593883013469134,0.0003650982413078762,0.00025040422270182207
116,0,0.005557556084469372,0.0461966149470621,18855.6912838029,1.0,4.765844266420534e-07,2.75e-06,0.030847046616655677,0.02482064869575704,0.012879163205422673,0.0040099283609178965,0.0003906345694299901,5.340419601727604e-05
116,1,0.0004244182553293951,0.025057962496342488,21452.184059932013,1.0,4.727996205381185e-07,2.75e-06,0.028128055956581518,0.01187710012815399,0.01285945679877038,0.004630401601112306,0.00019344375510170971,3.2557212539686304e-05
116,2,0.0006352881883076589,0.1721075129403027,7929.451797825025,1.0,4.7584141316079337e-07,2.75e-06,0.02830208301413993,0.020092449060156514,0.012592720572805935,0.014736271002244727,0.00022794412658418603,0.0001600576578978249
117,0,0.0004607249823333302,0.2673644891393971,22983.83147867344,1.0,4.574882251141422e-07,2.75e-06,0.019976289593546425,0.00718506108895415,0.014477746061219536,0.004852351607562168,0.00019895910199309988,3.4707998325018903e-05
117,1,0.0011624581447383158,0.08209047313339496,22261.399515588666,1.0,4.6301582091749974e-07,2.75e-06,0.023148742003764957,0.01410739886878372,0.013485256810494983,0.005068570264053099,0.0001473431641682331,3.8706241506034516e-05
117,2,0.0001421057222452543,0.038227985884004445,15221.604001026566,2.0,4.68368310605316e-07,2.75e-06,0.025455434068523363,0.012130011429941176,0.012375202542716674,0.006410865214626781,0.00016344680330872928,5.0624268623605946e-05
118,0,8.029972697021262e-05,0.06288024012041082,2351.1131005664806,1.0,4.53972114343622e-07,2.75e-06,0.04308658511866653,0.01978607220548,0.007776992359783822,0.009600623499555058,0.00045629137388655323,0.00017895519556239666
118,1,7.670148251855186e-05,0.17386253245883918,19151.266574506477,1.0,4.55430341910672e-07,2.75e-06,0.021062405224925723,0.005982493258717821,0.014362831625904168,0.0006132130210168408,0.00020823895905347237,3.2000438603827186e-05
118,2,3.2840954893558875e-05,0.1770017489466091,5319.689575403128,2.0,4.508228491367316e-07,2.75e-06,0.02558380884759214,0.0058733390049238,0.01199474591394191,0.00046861029071797975,0.00041476570247523433,2.4664071421219046e-05
119,0,0.001829255817080699,0.06937747018890655,5412.461502006818,2.0,4.726614005525474e-07,2.75e-06,0.11142835761717967,0.11195279102232003,0.005775792544826504,0.0465271259690844,0.0003207072704687433,0.001264135028977114
119,1,3.549596304573918e-05,0.29848084857406326,7464.578926197997,3.0,4.6952704249166844e-07,2.75e-06,0.02886205717117517,0.005723946248687908,0.014100342060855491,0.00048418559645385705,0.00013746993931958485,2.8214454520230753e-05
119,2,0.00013740043590879976,0.038698399050928735,4196.542880763558,2.0,4.7119431146513464e-07,2.75e-06,0.030318996242988793,0.03908932019325285,0.006373125371549368,0.021805111324015154,0.0002025536711760177,0.00032619301003568475
120,0,0.00010341087082168359,0.1481630618000877,13139.588030593963,2.0,4.806825155982662e-07,2.75e-06,0.04869454075454523,0.0064552550133822615,0.013815239391254008,0.0037715200450762665,0.0003568026585144622,3.8400973965155554e-05
120,1,2.3857009461359863e-05,0.18167650898040924,23887.982619786948,2.0,4.693975900045308e-07,2.75e-06,0.03624227245871315,0.0060803371969846455,0.014253508773916118,0.0005019677274540935,0.0001739681996790058,3.203695318422469e-05
120,2,0.00045439888385317214,0.21926272935981597,20320.682941141993,2.0,4.6751924647032813e-07,2.75e-06,0.026430720481760945,0.009647976561349298,0.013183516796893419,0.007061811645110608,0.00014894487115387885,4.923902118887124e-05
121,0,1.5359150434607743e-05,0.2969091844729652,3947.965973003686,1.0,4.6339792976505253e-07,2.75e-06,0.0209655237314412,0.0059292278525162065,0.013569559220176566,0.000505530519725516,0.00020943491682512755,2.897210358824107e-05
121,1,9.56212320212446e-05,0.1929423576990255,12203.007579733674,1.0,4.610021544192693e-07,2.75e-06,0.020793009429737788,0.005651320105603167,0.014369291512277836,0.0014666028788669647,0.00019486328522538745,3.12094701820149e-05
121,2,6.534451907676274e-05,0.2531530215948609,8887.594438863274,2.0,4.677676485552053e-07,2.75e-06,0.02552144032218665,0.005588077673010626,0.013301395188969218,0.0006711839945601692,0.0001385889585021564,2.983150700410993e-05
122,0,1.3174123111581757e-05,0.21714756809577737,16542.78082392807,3.0,4.712955633001977e-07,2.75e-06,0.04266208302686567,0.005856930550308538,0.014436330758091087,0.0005181071091557489,0.00023993262594979397,3.116464926865294e-05
122,1,0.00036675407593286547,0.1558087827157675,8572.203458764783,1.0,4.6197203113008786e-07,2.75e-06,0.02427347849135353,0.013769941307610964,0.013516230970569825,0.01215965370127465,0.00021955112572796213,0.00011046825213159756
122,2,0.0001145496528961548,0.23997419327897895,22541.532883072054,2.0,4.877149536908249e-07,2.75e-06,0.06987520852644112,0.005784338297409771,0.014407593061698453,0.0022245077851675457,0.0006001059446762866,3.1529823104710945e-05
123,0,2.8654495031424737e-06,0.27970664207148677,18713.273199391882,1.0,4.745814100955888e-07,2.75e-06,0.04874781851309969,0.006398556518304513,0.014563584932217218,0.0005083176457746502,0.0003001540065472565,3.2346818949880293e-05
123,1,2.9709789632172426e-05,0.17036990270396696,8017.998672676821,2.0,4.6978827768412265e-07,2.75e-06,0.03615877165890156,0.00566166452398541,0.013130501307101694,0.0004839424733330292,0.00018574194904823142,2.8443369005056276e-05
123,2,5.2558330701908505e-05,0.13186333564304875,5352.269128923832,2.0,4.716788873599825e-07,2.75e-06,0.034196296387751395,0.006398084927333431,0.011996878000224349,0.0009236343005972302,0.00019438079826509405,2.441507496052541e-05
124,0,0.0002609692338172222,0.25089242934436984,2472.6993923686014,3.0,4.743586922055973e-07,2.75e-06,0.06809690059414777,0.054833593199365704,0.007127980882968847,0.0676492537445605,0.00024632946359777095,0.0012479420795091373
124,1,4.78356158396957e-05,0.2173751944716756,13774.741355899472,1.0,4.567900189651946e-07,2.75e-06,0.02113410226242979,0.006162176839983154,0.01471002875492245,0.0004969274633518517,0.0001966758034651992,3.1939464578597056e-05
124,2,0.0008816495465527851,0.0780569016674261,3553.7592907830285,3.0,4.7068225663743253e-07,2.75e-06,0.1264763917764413,0.12320833881265507,0.007981102280597426,0.06628643763747727,0.0003191420302086135,0.001675216723012002
