year,site,n,n_ind,median,mean,max,ge_3rd,ge_2nd,ge_1st,baseline_pct,n_snps
2019,PloverDaveBrSE-2019,21,7,-0.30474816239368163,-0.3049895213746548,-0.2343946524024861,0,0,0,69.06752411575563,36829561
2019,Wysocki1129-2019,21,7,-0.29951228067547137,-0.29870163003339917,-0.26324775555606467,0,0,0,74.40514469453376,36829561
2019,Wysocki438-2019,21,7,-0.31939643768169884,-0.320428913379331,-0.2880459377318495,0,0,0,51.51125401929261,36829561
2019,Wysocki563-2019,21,7,-0.33074896148521793,-0.33074793178237943,-0.2788983139854727,0,0,0,37.60450160771704,36829561
2019,Wysocki570-2019,21,7,-0.3201059675578945,-0.32610969793372163,-0.2986420355550877,0,0,0,50.49839228295821,36829561
2019,XMASBig-2019,10,5,-0.3051327875735394,-0.3179104037578171,-0.2844080011486069,0,0,0,68.60128617363344,36829561
2023,Aartz-2023,10,5,-0.34213098796788555,-0.3393651951157771,-0.29856802938139315,0,0,0,26.771479185119574,37168287
2023,Airport04-2023,21,7,-0.29506340828562144,-0.2980631944495715,-0.2501647207753118,0,0,0,72.85208148804251,37168287
2023,Alsum18-2023,21,7,-0.21205584876416295,-0.22421464478378497,0.25602815924288314,1,1,1,96.09167404782994,37168287
2023,Alsum59-2023,21,7,-0.32558253790480574,-0.33011579712324324,-0.29885580048746585,0,0,0,41.895482728077944,37168287
2023,Arlington-2023,21,7,-0.3178469415971641,-0.31954773274364295,-0.28400887350373855,0,0,0,49.856067316209035,37168287
2023,BrikalskiPats-2023,21,7,-0.3148707595262782,-0.3164906971411325,-0.28228934796660143,0,0,0,53.00044286979628,37168287
2023,C44-L15-2023,21,7,-0.32281683207802403,-0.32415954794726737,-0.2803242978913086,0,0,0,44.5859167404783,37168287
2023,C5-2023,21,7,-0.3246860775715011,-0.3235865252057924,-0.2876835909776916,0,0,0,42.77015057573074,37168287
2023,DaveBrilowski-2023,21,7,-0.320625726090791,-0.31775011685584653,-0.28713958848779814,0,0,0,46.811337466784764,37168287
2023,Du-2023,21,7,-0.19349743008974418,-0.1960694912097018,-0.12297403784539335,0,0,0,97.34278122232064,37168287
2023,GarrisonNE-2023,21,7,-0.32796781693490457,-0.32712643625721355,-0.29891416856477016,0,0,0,39.703277236492475,37168287
2023,H10-2023,21,7,-0.31025703862931403,-0.31124290091584017,-0.24600877255792009,0,0,0,57.9273693534101,37168287
2023,H15-2023,21,7,-0.32123443557844455,-0.4469350203747706,-0.2669398593979929,0,0,0,46.191319751992914,37168287
2023,H41-2023,21,7,-0.6496350561476555,-0.7860121294944455,-0.2621435639302099,0,0,0,5.314437555358724,37168287
2023,H66-2023,55,11,-0.33372514977575596,-0.34917451473400246,-0.2599489911925903,0,0,0,34.12311780336581,37168287
2023,LaszSE-O14-2023,10,5,-0.31003077268900275,-0.30600976773807875,-0.2600041567112519,0,0,0,58.19309123117803,37168287
2023,OkrayGrosheks40-2023,21,7,-0.2963565945820064,-0.2914103110205711,-0.22282472386673385,0,0,0,71.84455270150576,37168287
2023,Wedekind_3-2023,21,7,-0.338276914855189,-0.3520528180075816,-0.29831058824468226,0,0,0,30.159433126660762,37168287
2023,Wysocki1129-2023,21,7,-0.31786608759229434,-0.31750647513817615,-0.27874965307931276,0,0,0,49.833923826395036,37168287
2023,XMASBig-2023,10,5,-0.30895484862363576,-0.3096351093426225,-0.286618983102633,0,0,0,59.33348095659876,37168287
