bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,r2_17,r2_18,r2_19,r2_20,r2_21,r2_22,r2_23,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23
3162,5623,4216.62,0.0783547,0.101838,0.174284,0.474331,0.104051,0.0993703,0.090118,0.141113,0.092944,0.0911491,0.0973708,0.0543928,0.363937,0.0857686,0.0975359,0.142304,0.10672,0.140059,0.0895196,0.0958538,0.0904465,0.0971857,0.0964936,0.095893,3668,5055,3269,1357,4660,4680,4813,3904,5547,4804,4914,5280,1750,5294,4832,3818,4560,3764,5258,4866,5035,5069,4745,5042
5623,10000,7498.67,0.0703717,0.0997438,0.176777,0.473926,0.0977942,0.101564,0.0886669,0.129602,0.0845878,0.0885843,0.0875002,0.0496559,0.357846,0.0816495,0.0939833,0.140095,0.0998956,0.137722,0.0848378,0.0910912,0.0913623,0.0981732,0.0956295,0.0926304,6489,9035,5880,2397,8569,8351,8680,7038,9928,8577,8666,9517,3114,9586,8628,6842,8175,7052,9541,8770,9027,9031,8579,9106
10000,17783,13335.3,0.060321,0.0694236,0.134354,,0.0535161,0.0447248,0.0584799,0.115396,0.0705294,0.0972556,0.0743446,0.0367529,0.333333,0.0647605,0.0582134,0.118512,0.15707,0.147113,0.10412,0.0542504,0.0587469,0.1028,0.0640848,0.0709665,11,33,12,0,29,31,36,17,44,33,32,37,1,38,33,14,25,18,43,33,37,35,33,37
17783,31623,23714,0.0520896,0.107382,0.158174,0.537037,0.072433,0.116807,0.0937393,0.0816413,0.0498946,0.0859609,0.0656933,0.0324141,0.497585,0.103299,0.106051,0.183818,0.101064,0.153218,0.0449957,0.0719751,0.0825609,0.0990859,0.0673918,0.0529347,38,42,37,12,37,36,33,39,36,36,38,42,23,42,37,42,37,37,41,35,33,36,33,36
31623,56234,42169.7,0.07108,0.0994464,0.153405,0.428571,0.0541468,0.0771898,0.0791319,0.123393,0.0959344,0.059847,0.0764387,0.0433386,0.322222,0.0948968,0.105236,0.111287,0.0820694,0.124281,0.0693241,0.0821526,0.0832235,0.0993729,0.0839441,0.0770108,55,81,49,21,80,80,85,60,92,80,82,91,20,92,81,62,83,61,83,90,91,93,87,89
56234,100000,74989.3,0.0625276,0.0939398,0.158291,0.460317,0.099276,0.0958733,0.100802,0.130609,0.0675459,0.0728577,0.0771421,0.0281768,0.278826,0.0731244,0.074981,0.134262,0.106471,0.132195,0.0722452,0.06115,0.0795726,0.0975012,0.0727626,0.0937103,103,139,90,35,127,118,124,104,139,132,126,149,53,135,130,102,112,108,146,124,125,122,122,125
100000,177828,133352,0.0582012,0.0744937,0.149089,0.448148,0.0891489,0.0795558,0.0729423,0.12079,0.0737658,0.0566962,0.0828696,0.0343092,0.368889,0.0655662,0.0779457,0.134876,0.0774998,0.125319,0.0851805,0.0797046,0.0751857,0.074631,0.0806407,0.070621,162,223,140,60,209,211,221,172,239,205,217,233,75,245,211,165,202,166,236,219,228,233,214,235
177828,316228,237137,0.04856,0.0785444,0.127992,0.467643,0.0845397,0.080006,0.0803427,0.124676,0.0830377,0.070112,0.0832423,0.0329638,0.352657,0.0702681,0.0716385,0.11461,0.0834385,0.103973,0.0709226,0.084359,0.0673282,0.078173,0.0910981,0.0789482,254,350,228,91,319,323,339,277,375,333,331,373,115,360,335,247,307,266,363,329,348,343,336,348
316228,562341,421697,0.0460801,0.0784145,0.148691,0.448087,0.0862044,0.0902384,0.081787,0.117288,0.0759018,0.0607329,0.0760484,0.0277745,0.295181,0.0658394,0.0736536,0.115713,0.0759113,0.10472,0.0873255,0.078378,0.0830934,0.0821264,0.0844659,0.078493,336,470,303,122,432,438,448,355,498,443,443,490,166,490,440,343,415,357,490,451,470,460,447,461
562341,1000000,749894,0.052006,0.0661199,0.128023,0.496454,0.0802027,0.0728917,0.070994,0.114512,0.0787735,0.0631446,0.0801878,0.0281786,0.309888,0.0644301,0.0883035,0.096815,0.0689764,0.11313,0.0688607,0.0804413,0.0780445,0.0847115,0.069799,0.0619638,218,316,225,94,310,306,312,253,348,335,328,359,109,371,331,252,306,266,372,318,323,334,326,322
